	A_Ctr_mean	A_Tr1_mean	A_Tr2_mean	B_Ctr_mean	B_Tr1_mean	B_Tr2_mean	A_Ctr_sem	A_Tr1_sem	A_Tr2_sem	B_Ctr_sem	B_Tr1_sem	B_Tr2_sem
0.0	0.0517209445420669	-0.012119440765104253	0.046965520126646225	-0.04523196151578681	-0.09937018980719342	0.06162570762865085						
0.5	0.047289514885738126	-0.016169087494570515	0.044658295544447925	-0.050973434356927395	-0.10472474861894254	0.06017537285455963						
1.0	0.05320051579508489	-0.011739575480563922	0.05050950566441987	-0.04322320788575255	-0.09774111942329204	0.06514738830651955						
1.5	0.05237943593741242	-0.01006756666554514	0.049492921800245046	-0.041346680888655736	-0.09509711002541821	0.06732522380269276						
2.0	0.049935178426003445	-0.013674634728530583	0.04698776722010965	-0.04620859538320557	-0.09930962723514734	0.06577092657975588						
2.5	0.05760608646195387	-0.011200658893945097	0.05415297311236326	-0.04027734124079233	-0.09381755637122217	0.06670001255932043						
3.0	0.04984073339114133	-0.013304971028576935	0.04724942926727072	-0.0434729563731216	-0.09837413112748357	0.06896746847519447						
3.5	0.057364168635018344	-0.01247211208236164	0.054772139277919275	-0.04108111386543066	-0.09272255820181476	0.07048107683960286						
4.0	0.0576846597742399	-0.011544728807938054	0.05462443345101982	-0.040276025776566644	-0.09345794876672461	0.07079184498622093						
4.5	0.0545192268665613	-0.01086407029832722	0.05271324654462544	-0.03875381375221917	-0.09084242366720012	0.07151142650658171						
5.0	0.059362992543367014	-0.009431009084147202	0.059872250055577704	-0.03776433276975072	-0.09031600202166691	0.07292282545997647						
5.5	0.05345453006094258	-0.015172571550663086	0.0522917534701048	-0.0436712043187934	-0.09424215108994125	0.07091056090906639						
6.0	0.05824165677039222	-0.00900582001931913	0.05913147849462656	-0.03517686337741941	-0.08690465212801674	0.0741489511733534						
6.5	0.05760627485002436	-0.014692384828800021	0.05887302835897308	-0.043234914119108625	-0.09118215819978391	0.07289639177074947						
7.0	0.058552061791537824	-0.011567337433926994	0.061916756577580015	-0.03910826226699982	-0.09051881988802346	0.07527444393983232						
7.5	0.05937525843199352	-0.009150056474701664	0.06345351297955044	-0.036230373692787796	-0.08712809867612448	0.0781615059842887						
8.0	0.058729889775723486	-0.006868505347923033	0.06538434715766571	-0.03639812679802147	-0.08654606135448893	0.08303960329062848						
8.5	0.0666268180306493	-0.0027922735550461792	0.07283454468631698	-0.02765695232897376	-0.07755484235335543	0.08654685886275724						
9.0	0.062453585961551185	-0.00307976120616036	0.07196750411304785	-0.029436866025273734	-0.07969591356915717	0.0858354776992072						
9.5	0.06258017966950327	-0.00347246809680917	0.0736817287587427	-0.031195652071396147	-0.07895690296652312	0.08747230838839747						
10.0	0.06375845713607795	0.0006202981065905538	0.07683589384739305	-0.027115326029415198	-0.07492719444279167	0.092370270669172						
10.5	0.0659714477488504	-0.0009514092714360335	0.08070517018338455	-0.028391138471317103	-0.07740446353978687	0.09040720394489846						
11.0	0.06698143468980278	0.00020661237353383112	0.0834052655084981	-0.025609861715577446	-0.07323221931887866	0.09103910985647196						
11.5	0.07286940444405106	0.0049445118532065084	0.0908393398502389	-0.020851924780742204	-0.06556710814867622	0.09620215877642392						
12.0	0.07783421982122384	0.00919438027778918	0.09725916802132006	-0.017457456161756795	-0.06260970817144851	0.0993138459946679						
12.5	0.08158680480323914	0.013597249926552335	0.1000312382531717	-0.01378465506513856	-0.055693699540636396	0.10558733238794968						
13.0	0.08648636430068528	0.01593008172413643	0.10250825212470868	-0.011620697055031853	-0.053478283622280985	0.10614662309458901						
13.5	0.08484403040104496	0.019843200820356025	0.10198728021529056	-0.011442656169096534	-0.0535337788317897	0.1075991304930947						
14.0	0.09556288685811616	0.024961144083094685	0.11091527487470898	-0.0007102587359471918	-0.04908087789128363	0.11352280158978753						
14.5	0.0965957538233494	0.026320529433212666	0.11395953108877058	-0.0012446282341171016	-0.046444186800240116	0.11644700991208029						
15.0	0.09485247108663282	0.026550889768189104	0.11418196633697349	-0.0014324731538187595	-0.049365029469544734	0.11504288178685519						
15.5	0.09638602637373347	0.026647383332493214	0.1160462003432263	7.139135480938152e-05	-0.04748273950106544	0.11641432151767776						
16.0	0.10293794522417672	0.034526404609956825	0.12322749408994799	0.006993819671400852	-0.03912416474229616	0.12355897496837884						
16.5	0.10438805519366645	0.03590604668877412	0.12446923590220593	0.007162319094282152	-0.038228764916992425	0.12574740309542648						
17.0	0.10992756681978146	0.04053613427542892	0.13057156121355765	0.009381941254743608	-0.03476967350396786	0.12713435226407435						
17.5	0.1108154676051781	0.043530367029735284	0.1336496701996793	0.008245254320896744	-0.03601383626332988	0.12586341859752131						
18.0	0.11423728121164264	0.04012778770143832	0.13655891721267732	0.00019956652695998287	-0.04253891783380272	0.12074243838191942						
18.5	0.11569817352753252	0.04221945905186537	0.13970046596442937	-0.0024520429080658844	-0.046578251383916705	0.11440521339063245						
19.0	0.11685966582722662	0.0443457748909809	0.1441830137003806	-0.00710724958256788	-0.0569052175567597	0.10669652085832958						
19.5	0.12369399388199212	0.04909544087049262	0.1525034572977739	-0.00465587480747518	-0.0547022880395259	0.10190907206390874						
20.0	0.12558033263422233	0.04834963825291469	0.1571622371950666	-0.008438946974935215	-0.06364565914784505	0.0935008455771937						
20.5	0.1297730539414554	0.04914129870828233	0.1662033753843203	-0.008934642470896035	-0.0722317877350151	0.08711343754386758						
21.0	0.13403161744341793	0.0554551611451861	0.1754369670650417	0.0009523873136627634	-0.07914433659623936	0.08274656988411193						
21.5	0.13762348078600503	0.04930204415341372	0.18235110836409707	-0.005965917372807725	-0.09872222632926324	0.07272878455288359						
22.0	0.13793775626936866	0.045858304985350706	0.19053462182158926	-0.007093277426794569	-0.11250879106953326	0.06600268762372985						
22.5	0.14150098681557588	0.04579561094001305	0.20156946217522462	0.001427560988046453	-0.12721094623439425	0.06149179406517028						
23.0	0.15147646184553987	0.04199311462398963	0.21326816284040015	0.008909316073820523	-0.14486543087230083	0.05753226716631653						
23.5	0.15501463792886225	0.03924010014965501	0.22657715141081478	0.011891490265937185	-0.15701552632316126	0.053196466391854866						
24.0	0.16668737511169968	0.03727587491065342	0.23979810210981625	0.019641148807368437	-0.1722229544432072	0.05195893429521175						
24.5	0.16890508297060172	0.03684153907956198	0.25172398900882004	0.03170776270108022	-0.18581337016631097	0.04856402270430094						
25.0	0.17689380289793896	0.03161612412854517	0.2669375033799297	0.032551340718313955	-0.1963111178130379	0.04661219846677819						
25.5	0.18980899705972537	0.0343627641169629	0.28394089172262654	0.05264721204583159	-0.19879951277981223	0.04942570734831522						
26.0	0.19749916636543977	0.030404138007338037	0.299906147172323	0.056355779596590015	-0.21120991244565107	0.04935242994216803						
26.5	0.2068255485846439	0.027650306240730043	0.3175697004336081	0.06246056797963604	-0.22119331860231164	0.050028816699739825						
