	A_mean	B_mean	A_sem	B_sem
0.0	-0.00766084242856391	-0.0200679380921649	0.023441042457385902	0.023769034992106926
0.5	-0.00028994263774811724	-0.0064415285980316435	0.0244698271964857	0.02386228257827679
1.0	0.01645846633594228	0.018001785420566893	0.026039693567529165	0.023822909019622612
1.5	0.025693540895440903	0.023490431037779407	0.02592939564480486	0.02366767539282666
2.0	0.035776702605698686	0.020542072851212498	0.025569364940568086	0.02390005115681197
2.5	0.04118891417815044	0.02971111203577334	0.023369997231087743	0.02465685054135848
3.0	0.0506870306333785	0.03603000354244305	0.02340324002731752	0.02519163652473286
3.5	0.05891277027402437	0.045267026293738716	0.02363598481381159	0.02496117413683983
4.0	0.0781740968564356	0.06308653707822186	0.024538413294763306	0.02597083896043273
4.5	0.1073852880802754	0.08233661117352972	0.026337861764281236	0.02749101303478852
5.0	0.15515761879541218	0.11753225116110488	0.028335781720058864	0.028398352209985767
5.5	0.20319485471918455	0.15820883109007863	0.030531165763065294	0.03017071176166259
6.0	0.2538721938392194	0.19552861319531734	0.03244323854227722	0.03181599979199551
6.5	0.30441032252692785	0.2385631307279555	0.032926420894830805	0.03313867306844558
7.0	0.3527175690642894	0.2774763285656492	0.034707485052931565	0.03385725006800246
7.5	0.3871231901249725	0.31073824398101924	0.03573002015109463	0.03491361969136094
8.0	0.42430376521717655	0.34514739113610604	0.03621849304714155	0.034992005969846536
8.5	0.4581053253353557	0.3738782269704521	0.037682450145677754	0.03578079713307945
9.0	0.48575434450516025	0.4019182198336833	0.03870866748194339	0.035645274794543276
9.5	0.514498249878509	0.43008328717346095	0.03910203834783062	0.03666046520776844
10.0	0.539390009650816	0.45061359762729686	0.0406044836990157	0.03663988993946321
10.5	0.5599128509633776	0.4684382403665293	0.041414776806970574	0.03704420010446673
11.0	0.5754457210047027	0.48358005807071586	0.042720648543406854	0.03766066573513269
11.5	0.5911878927367928	0.4963985096251358	0.04420977949857314	0.037145914115923634
12.0	0.5974421276476668	0.5049939835252438	0.04513142182212897	0.0373305286298809
12.5	0.6002106761388036	0.5118887563837362	0.04685825751860936	0.03813444678881328
13.0	0.6028808749359743	0.5182287557822031	0.04758597129671521	0.03818575020145119
13.5	0.6001370330407055	0.5215247517588298	0.048567845875876994	0.0376907601601887
14.0	0.5932892102770319	0.5255071224967046	0.049740495566078215	0.03825916549074144
14.5	0.5800794157456687	0.5221661350760666	0.04966012880798572	0.038719390078473276
15.0	0.5677014381677855	0.5223624667895611	0.049434443118693536	0.03802707216000818
15.5	0.5535832283110395	0.5203435879727852	0.04889091008797253	0.03831369113116781
16.0	0.5377595643959155	0.5162224724296756	0.047996859265530156	0.03811386807805015
